store_group,store_id,promo_period_int,period_num,period_year,weekly_velocity_amount,weekly_velocity_quantity
baseline_control,1,46,7,2018,98.68,6.75
baseline_control,2,46,7,2018,120.43,7.25
baseline_control,3,50,11,2018,114.68,6.75
baseline_control,3,62,10,2019,181.65,10.25
baseline_control,4,63,11,2019,112.44,6.25
program_test,5,64,12,2019,89.94,6
baseline_control,1,65,13,2019,114.68,6.75
baseline_control,4,66,1,2020,121.43,6.75
baseline_control,6,68,3,2020,166.41,9.25
baseline_control,3,68,3,2020,256.36,14.25
baseline_control,7,69,4,2020,107.94,6
baseline_control,4,70,5,2020,161.91,9
baseline_control,4,72,7,2020,215.88,12
baseline_control,8,72,7,2020,158.66,8.5
film_control,9,74,9,2020,107.93,6.75
baseline_control,3,74,9,2020,143.92,8
baseline_control,10,75,10,2020,143.92,8
baseline_control,4,75,10,2020,193.39,10.75
program_test,11,76,11,2020,111.93,7
baseline_control,10,76,11,2020,139.42,7.75
baseline_control,10,47,8,2018,9.49,0.5
baseline_control,12,48,9,2018,9.49,0.5
baseline_control,13,49,10,2018,8.99,0.5
baseline_control,14,50,11,2018,8,0.5
baseline_control,15,50,11,2018,8.49,0.5
baseline_control,14,52,13,2018,8.49,0.5
baseline_control,8,52,13,2018,9.49,0.5
baseline_control,16,52,13,2018,8.99,0.5
baseline_control,10,52,13,2018,9.49,0.5
baseline_control,2,53,1,2019,9.49,0.5
baseline_control,17,54,2,2019,8.99,0.5
baseline_control,13,58,6,2019,8.99,0.5
baseline_control,17,65,13,2019,9.49,0.5
baseline_control,18,66,1,2020,9.99,0.5
baseline_control,17,68,3,2020,8.99,0.5
baseline_control,19,46,7,2018,11.99,0.75
baseline_control,20,46,7,2018,12.74,0.75
program_test,11,49,10,2018,13.49,0.75
baseline_control,21,52,13,2018,14.24,0.75
baseline_control,22,53,1,2019,14.24,0.75
baseline_control,23,55,3,2019,14.24,0.75
baseline_control,23,59,7,2019,14.24,0.75
baseline_control,24,59,7,2019,11.99,0.75
baseline_control,22,61,9,2019,14.24,0.75
baseline_control,15,46,7,2018,16.74,1
baseline_control,25,48,9,2018,18.99,1
program_test,5,48,9,2018,17.99,1
baseline_control,10,49,10,2018,18.99,1
baseline_control,15,51,12,2018,18.99,1
film_control,9,52,13,2018,16.99,1
baseline_control,18,52,13,2018,17.99,1
baseline_control,26,53,1,2019,17.99,1
baseline_control,27,54,2,2019,17.99,1
baseline_control,10,61,9,2019,17.99,1
baseline_control,8,66,1,2020,18.99,1
baseline_control,14,66,1,2020,16.99,1
baseline_control,28,66,1,2020,17.99,1
baseline_control,1,45,6,2018,19.99,1.25
baseline_control,18,46,7,2018,16.74,1.25
baseline_control,27,48,9,2018,23.74,1.25
baseline_control,26,49,10,2018,23.74,1.25
baseline_control,29,50,11,2018,19.99,1.25
baseline_control,8,51,12,2018,23.74,1.25
baseline_control,29,53,1,2019,19.99,1.25
baseline_control,15,53,1,2019,22.49,1.25
baseline_control,30,53,1,2019,22.49,1.25
baseline_control,13,59,7,2019,17.99,1.25
baseline_control,18,61,9,2019,24.99,1.25
film_control,9,61,9,2019,20.74,1.25
